This Report is for linerDistance=1
zData	deltaZ	deltaX	results	Index	number Of Grid Moved In X	newIndext	converted1DFrom2D	GapFilled Counter	predicted array	After ExpandingX	
5	0	0	5	0	0	0	5	0	5	5	
5	1	0	4	1	0	1	4	0	5	4	
5	1	0	4	2	0	2	4	0	5	4	
5	1	0	4	3	0	3	4	0	5	4	
5	1	0	4	4	0	4	4	0	5	4	
5	1	0	4	5	0	5	4	0	5	4	
5	1	0	4	6	0	6	4	0	5	4	
5	1	0	4	7	0	7	4	0	5	4	
5	1	0	4	8	0	8	4	0	5	4	
5	1	0	4	9	0	9	4	0	5	4	
5	1	0	4	10	0	10	4	0	5	4	
5	1	0	4	11	0	11	4	0	5	4	
5	1	0	4	12	0	12	4	0	5	4	
5	1	0	4	13	0	13	4	0	5	4	
5	1	0	4	14	0	14	4	0	5	4	
5	1	0	4	15	0	15	4	0	5	4	
5	1	0	4	16	0	16	4	0	5	4	
5	1	0	4	17	0	17	4	0	5	4	
5	1	0	4	18	0	18	4	0	5	4	
5	1	0	4	19	0	19	4	0	5	4	
5	1	0	4	20	0	20	4	0	5	4	
5	1	0	4	21	0	21	4	0	5	4	
5	1	0	4	22	0	22	4	0	5	4	
5	1	0	4	23	0	23	4	0	5	4	
5	1	0	4	24	0	24	4	0	5	4	
5	1	0	4	25	0	25	4	0	5	4	
5	1	0	4	26	0	26	4	0	5	4	
5	1	0	4	27	0	27	4	0	5	4	
5	1	0	4	28	0	28	4	0	5	4	
5	1	0	4	29	0	29	4	0	5	4	
5	1	0	4	30	0	30	4	0	5	4	
5	1	0	4	31	0	31	4	0	5	4	
5	1	0	4	32	0	32	4	0	5	4	
5	1	0	4	33	0	33	4	0	5	4	
5	1	0	4	34	0	34	4	0	5	4	
5	1	0	4	35	0	35	4	0	5	4	
5	1	0	4	36	0	36	4	0	5	4	
5	1	0	4	37	0	37	4	0	5	4	
5	1	0	4	38	0	38	4	0	5	4	
5	1	0	4	39	0	39	4	0	5	4	
5	1	0	4	40	0	40	4	0	5	4	
5	1	0	4	41	0	41	4	0	5	4	
5	1	0	4	42	0	42	4	0	5	4	
5	1	0	4	43	0	43	4	0	5	4	
5	1	0	4	44	0	44	4	0	5	4	
5	1	0	4	45	0	45	4	0	5	4	
5	1	0	4	46	0	46	4	0	5	4	
5	1	0	4	47	0	47	4	0	5	4	
5	1	0	4	48	0	48	4	0	5	4	
5	1	0	4	49	0	49	4	0	5	4	
5	1	0	4	50	0	50	4	0	5	4	
5	1	0	4	51	0	51	4	0	5	4	
5	1	0	4	52	0	52	4	0	5	4	
5	1	0	4	53	0	53	4	0	5	4	
5	1	0	4	54	0	54	4	0	5	4	
5	1	0	4	55	0	55	4	0	5	4	
5	1	0	4	56	0	56	4	0	5	4	
5	1	0	4	57	0	57	4	0	5	4	
5	1	0	4	58	0	58	4	0	5	4	
5	1	0	4	59	0	59	4	0	5	4	
5	1	0	4	60	0	60	4	0	5	4	
5	1	0	4	61	0	61	4	0	5	4	
5	1	0	4	62	0	62	4	0	5	4	
5	1	0	4	63	0	63	4	0	5	4	
5	1	0	4	64	0	64	4	0	5	4	
5	1	0	4	65	0	65	4	0	5	4	
5	1	0	4	66	0	66	4	0	5	4	
5	1	0	4	67	0	67	4	0	5	4	
5	1	0	4	68	0	68	4	0	5	4	
5	1	0	4	69	0	69	4	0	5	4	
5	1	0	4	70	0	70	4	0	5	4	
5	1	0	4	71	0	71	4	0	5	4	
5	1	0	4	72	0	72	4	0	5	4	
5	1	0	4	73	0	73	4	0	5	4	
5	1	0	4	74	0	74	4	0	5	4	
5	1	0	4	75	0	75	4	0	5	4	
5	1	0	4	76	0	76	4	0	5	4	
5	1	0	4	77	0	77	4	0	5	4	
5	1	0	4	78	0	78	4	0	5	4	
5	1	0	4	79	0	79	4	0	5	4	
5	0	0	5	80	0	0	2.6391e-308	0	5	5	
